epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,803.398,1.16787,0.59187,0.83919,0.78175,0.6933,0.71363,0.41851,1.08755,0.59161,0.83391,0.000445625,0.000445625,0.000445625
67,815.59,1.19179,0.59705,0.84243,0.80961,0.65098,0.69068,0.38356,1.1785,0.61174,0.83732,0.00043325,0.00043325,0.00043325
68,827.639,1.12718,0.57543,0.84028,0.73475,0.67877,0.69598,0.39125,1.12461,0.60027,0.83389,0.000420875,0.000420875,0.000420875
69,839.094,1.10797,0.56416,0.83474,0.74758,0.6942,0.70964,0.41402,1.07087,0.57568,0.83277,0.0004085,0.0004085,0.0004085
70,852.464,1.15231,0.58205,0.8386,0.76327,0.66324,0.69684,0.40704,1.06726,0.58592,0.8347,0.000396125,0.000396125,0.000396125
71,863.721,1.13391,0.56881,0.83733,0.75999,0.68714,0.72211,0.42715,1.05758,0.57364,0.83204,0.00038375,0.00038375,0.00038375
72,875.915,1.14119,0.57398,0.83507,0.84348,0.64028,0.70718,0.42178,1.05419,0.57241,0.83087,0.000371375,0.000371375,0.000371375
73,888.144,1.10706,0.56896,0.83321,0.77524,0.59207,0.67384,0.37598,1.14977,0.62884,0.84323,0.000359,0.000359,0.000359
74,900.276,1.1115,0.56858,0.8339,0.81426,0.655,0.70206,0.41275,1.08731,0.58751,0.8299,0.000346625,0.000346625,0.000346625
75,911.601,1.13784,0.57328,0.83637,0.80087,0.68407,0.7206,0.41251,1.10322,0.58575,0.83348,0.00033425,0.00033425,0.00033425
76,922.485,1.14613,0.57859,0.83775,0.77752,0.68906,0.7249,0.42751,1.05339,0.57764,0.83148,0.000321875,0.000321875,0.000321875
77,934.423,1.12666,0.56654,0.83586,0.83016,0.65837,0.70947,0.42301,1.04702,0.56934,0.83059,0.0003095,0.0003095,0.0003095
78,946.52,1.1145,0.56357,0.83555,0.79369,0.66597,0.71339,0.42398,1.04317,0.56538,0.82919,0.000297125,0.000297125,0.000297125
79,958.483,1.09997,0.55559,0.83754,0.74408,0.6977,0.71715,0.42201,1.05637,0.5697,0.83251,0.00028475,0.00028475,0.00028475
80,969.587,1.12385,0.56572,0.83618,0.75696,0.70012,0.71584,0.42296,1.05153,0.56705,0.82958,0.000272375,0.000272375,0.000272375
81,980.884,1.09439,0.55152,0.82979,0.79275,0.68285,0.71438,0.42105,1.04935,0.57092,0.82944,0.00026,0.00026,0.00026
82,993.753,1.08186,0.54995,0.83579,0.79484,0.66969,0.69971,0.4103,1.07868,0.57303,0.82927,0.000247625,0.000247625,0.000247625
83,1006.17,1.0915,0.54927,0.83121,0.81117,0.67428,0.71387,0.41562,1.08288,0.56886,0.83129,0.00023525,0.00023525,0.00023525
84,1018.45,1.09394,0.55101,0.83362,0.80654,0.66424,0.71684,0.40832,1.10059,0.57107,0.83283,0.000222875,0.000222875,0.000222875
85,1030.77,1.05886,0.53664,0.83183,0.78626,0.67545,0.71062,0.42287,1.03816,0.5591,0.82886,0.0002105,0.0002105,0.0002105
86,1041.51,1.07875,0.54188,0.8298,0.76376,0.68193,0.70719,0.42757,1.04435,0.5551,0.82978,0.000198125,0.000198125,0.000198125
87,1053.51,1.06984,0.54317,0.82968,0.77103,0.68333,0.71126,0.42168,1.04579,0.55927,0.83114,0.00018575,0.00018575,0.00018575
88,1065.62,1.08444,0.54454,0.83044,0.77829,0.68728,0.71514,0.42043,1.05586,0.55501,0.82825,0.000173375,0.000173375,0.000173375
89,1077.79,1.07753,0.54301,0.82937,0.77318,0.67989,0.71685,0.42495,1.0259,0.55745,0.82609,0.000161,0.000161,0.000161
90,1091.33,1.10065,0.54918,0.83347,0.76496,0.69248,0.70999,0.41675,1.05063,0.5598,0.82949,0.000148625,0.000148625,0.000148625
91,1105.95,1.06566,0.53463,0.83913,0.75556,0.69136,0.70674,0.41374,1.04397,0.57331,0.82706,0.00013625,0.00013625,0.00013625
92,1116.07,1.07145,0.53357,0.83823,0.73152,0.66495,0.68873,0.39651,1.06013,0.58061,0.83057,0.000123875,0.000123875,0.000123875
93,1128.09,1.04547,0.52451,0.84098,0.84717,0.6408,0.70284,0.40532,1.06035,0.56651,0.82889,0.0001115,0.0001115,0.0001115
94,1139.75,1.02714,0.51631,0.83435,0.81499,0.6387,0.70144,0.40761,1.04878,0.56678,0.82875,9.9125e-05,9.9125e-05,9.9125e-05
95,1151.32,1.03845,0.51403,0.83565,0.71747,0.68903,0.7025,0.40395,1.08169,0.57121,0.83111,8.675e-05,8.675e-05,8.675e-05
96,1161.76,1.02673,0.50843,0.83403,0.76256,0.67773,0.71053,0.41359,1.05192,0.55866,0.82957,7.4375e-05,7.4375e-05,7.4375e-05
97,1172.85,1.01635,0.50796,0.83305,0.77366,0.68797,0.71809,0.41508,1.05798,0.56123,0.82898,6.2e-05,6.2e-05,6.2e-05
98,1184.62,0.99818,0.50023,0.83213,0.78942,0.68359,0.71869,0.42336,1.03926,0.55525,0.8279,4.9625e-05,4.9625e-05,4.9625e-05
99,1196.49,1.01899,0.50709,0.83195,0.75306,0.70151,0.72286,0.42891,1.03642,0.55104,0.82797,3.725e-05,3.725e-05,3.725e-05
100,1207.28,0.99491,0.4994,0.83112,0.76406,0.6832,0.7191,0.42619,1.03312,0.55326,0.8274,2.4875e-05,2.4875e-05,2.4875e-05
